"","Species","Location","method","x","n","mean","lower","upper"
"1","C. greefi","Ghana","wilson",12,70,0.171428571428571,0.100877246405292,0.276166480321454
"2","C. greefi","Bioko","wilson",0,138,0,0,0.027082764465573
"3","C. greefi","Príncipe","wilson",3,74,0.0405405405405405,0.0138824312219789,0.112547095790916
"4","C. greefi","São Tomé","wilson",5,135,0.037037037037037,0.0159219137736674,0.0837706343907075
"5","C. greefi","Annobón","wilson",1,95,0.0105263157894737,0.00186057626234791,0.0572387014131361
"6","E. africana","Ghana","wilson",11,43,0.255813953488372,0.149295171238082,0.402384034988467
"7","E. africana","Príncipe","wilson",3,10,0.3,0.107791267406301,0.603221852538855
"8","E. africana","São Tomé","wilson",1,1,1,0.206549314377238,1
