Species,Location,Tested,Pos
C. greefi,Ghana,70,12
C. greefi,Bioko,138,0
C. greefi,Principe,74,3
C. greefi,Sao Tome,135,5
C. greefi,Annobon,95,1
E. africana,Ghana,43,11
E. africana,Principe,10,3
E. africana,Sao Tome,1,1
