Species,Location,Count,Proportion
C. greefi,Annobon,81,0.262987013
C. greefi,Bioko,38,0.123376623
C. greefi,Ghana,41,0.133116883
C. greefi,Principe,55,0.178571429
C. greefi,Sao Tome,93,0.301948052
E. africana 1,Ghana,25,0.78125
E. africana 1,Nigeria,7,0.21875
E. africana 2,Principe,10,0.909090909
E. africana 2,Sao Tome,1,0.090909091
D. biannulata,Ghana,1,1
