Species,Location,Count,Proportion
C. greefi 1,Annobon,3,0.037974684
C. greefi 1,Bioko,10,0.126582278
C. greefi 1,Ghana,25,0.316455696
C. greefi 1,Principe,9,0.113924051
C. greefi 1,Sao Tome,32,0.405063291
C. greefi 2,Annobon,8,1
E. africana 1,Ghana,15,1
E. africana 2,Ghana,4,1
E. africana 3,Ghana,3,1
E. africana 4,Ghana,18,1
E. africana 5,Principe,9,0.9
E. africana 5,Sao Tome,1,0.1
